cokey,mukey,comppct_r,compname,hydgrp,drainagecl,slope_r,chkey,hzdept_r,hzdepb_r,ksat_r,awc_r,sandtotal_r,claytotal_r,dbthirdbar_r,om_r
26573156,326260,45,Kinston,B/D,Poorly drained,1.0,79300208.0,38.0,84.0,28.0,0.13,68.0,12.0,1.44,2.0
26573156,326260,45,Kinston,B/D,Poorly drained,1.0,79300209.0,84.0,203.0,9.0,0.16,58.5,26.5,1.53,0.75
26573157,326260,35,Bibb,A/D,Poorly drained,1.0,79300213.0,0.0,8.0,28.0,0.17,63.9,8.5,1.48,2.0
26573157,326260,35,Bibb,A/D,Poorly drained,1.0,79300210.0,8.0,68.0,28.0,0.12,66.6,10.0,1.56,0.5
26573157,326260,35,Bibb,A/D,Poorly drained,1.0,79300211.0,68.0,114.0,28.0,0.13,70.0,10.0,1.48,2.0
26573157,326260,35,Bibb,A/D,Poorly drained,1.0,79300212.0,114.0,203.0,28.0,0.12,70.0,10.0,1.56,0.5
26573147,326265,80,Lakeland,A,Excessively drained,13.0,79300159.0,0.0,10.0,92.0,0.07,93.3,2.2,1.66,0.75
26573147,326265,80,Lakeland,A,Excessively drained,13.0,79300160.0,10.0,64.0,92.0,0.05,94.1,2.3,1.64,0.25
26573147,326265,80,Lakeland,A,Excessively drained,13.0,79300161.0,64.0,152.0,92.0,0.05,94.1,2.3,1.64,0.25
26573147,326265,80,Lakeland,A,Excessively drained,13.0,79300162.0,152.0,203.0,92.0,0.05,94.1,2.3,1.64,0.25
26573139,326268,80,Orangeburg,B,Well drained,1.0,79300120.0,0.0,18.0,46.0,0.09,82.8,8.0,1.5,1.25
26573139,326268,80,Orangeburg,B,Well drained,1.0,79300121.0,18.0,30.0,31.0,0.13,80.0,10.5,1.6,0.25
26573139,326268,80,Orangeburg,B,Well drained,1.0,79300122.0,30.0,137.0,9.0,0.15,61.5,26.5,1.68,0.25
26573139,326268,80,Orangeburg,B,Well drained,1.0,79300123.0,137.0,203.0,9.0,0.11,53.5,32.5,1.68,0.25
26573114,326272,100,Ochlockonee,B,Well drained,1.0,79300027.0,0.0,15.0,28.0,0.15,44.7,14.5,1.5,1.25
26573114,326272,100,Ochlockonee,B,Well drained,1.0,79300028.0,15.0,112.0,9.0,0.15,67.4,13.0,1.5,0.75
26573114,326272,100,Ochlockonee,B,Well drained,1.0,79300029.0,112.0,183.0,28.0,0.09,80.8,10.5,1.55,0.75
26573143,326279,85,Tifton,B,Well drained,3.0,79300143.0,0.0,18.0,28.0,0.08,75.0,15.0,1.55,0.75
